timestamp,city,temp,humidity,pressure,wind_speed,pm25,pm10,co,no2,so2,o3,aqi
2026-05-17 00:00:00+00:00,Islamabad,21.6,60,1005.0,0.47,17.8,18.7,336.0,43.4,4.1,32.0,74
2026-05-17 01:00:00+00:00,Islamabad,22.1,60,1005.0,1.13,15.8,16.5,468.0,36.3,4.7,52.0,74
2026-05-17 02:00:00+00:00,Islamabad,24.9,64,1005.2,1.21,16.1,16.9,682.0,26.3,5.6,79.0,73
2026-05-17 03:00:00+00:00,Islamabad,28.4,48,1005.3,0.89,13.2,16.1,784.0,17.6,6.2,105.0,73
2026-05-17 04:00:00+00:00,Islamabad,30.8,41,1005.3,1.12,9.1,13.6,650.0,11.3,6.5,126.0,72
2026-05-17 05:00:00+00:00,Islamabad,33.0,30,1004.8,1.7,7.7,13.9,405.0,6.3,6.5,144.0,72
2026-05-17 06:00:00+00:00,Islamabad,34.1,26,1005.0,2.36,7.8,13.1,225.0,2.9,6.4,158.0,71
2026-05-17 07:00:00+00:00,Islamabad,34.5,26,1004.3,3.0,7.9,12.2,185.0,1.6,6.0,164.0,70
2026-05-17 08:00:00+00:00,Islamabad,34.7,26,1003.7,3.44,7.8,11.4,210.0,2.0,5.3,166.0,70
2026-05-17 09:00:00+00:00,Islamabad,34.7,27,1002.9,3.66,7.7,10.9,254.0,2.6,4.9,165.0,78
2026-05-17 10:00:00+00:00,Islamabad,34.5,27,1002.4,3.52,7.7,11.0,284.0,1.5,4.7,166.0,102
2026-05-17 11:00:00+00:00,Islamabad,34.1,29,1002.0,3.62,7.7,11.2,332.0,0.7,4.8,165.0,120
2026-05-17 12:00:00+00:00,Islamabad,33.5,37,1001.4,1.65,3.6,4.9,451.0,4.9,4.8,153.0,133
2026-05-17 13:00:00+00:00,Islamabad,31.6,47,1001.4,1.29,4.3,6.2,730.0,16.9,5.6,130.0,139
2026-05-17 14:00:00+00:00,Islamabad,28.7,50,1001.5,1.1,9.4,11.3,1079.0,33.7,6.7,97.0,136
2026-05-17 15:00:00+00:00,Islamabad,26.1,56,1001.8,1.12,18.0,20.3,1287.0,48.3,7.5,68.0,123
2026-05-17 16:00:00+00:00,Islamabad,24.0,65,1002.3,1.35,25.3,27.6,1239.0,59.7,7.8,46.0,103
2026-05-17 17:00:00+00:00,Islamabad,23.4,66,1002.7,1.67,31.8,33.9,1048.0,68.8,7.8,27.0,77
2026-05-17 18:00:00+00:00,Islamabad,23.5,64,1002.5,1.1,30.6,31.9,847.0,71.4,7.5,17.0,62
2026-05-17 19:00:00+00:00,Islamabad,23.4,61,1001.9,1.31,25.2,26.0,656.0,63.2,6.6,20.0,61
2026-05-17 20:00:00+00:00,Islamabad,23.3,58,1001.5,1.2,21.1,21.8,454.0,48.5,5.5,32.0,61
2026-05-17 21:00:00+00:00,Islamabad,23.1,56,1000.9,1.23,17.6,18.2,307.0,36.1,4.6,43.0,60
2026-05-17 22:00:00+00:00,Islamabad,23.0,56,1000.9,1.2,14.7,15.1,219.0,29.0,4.2,47.0,60
2026-05-17 23:00:00+00:00,Islamabad,22.8,56,1001.0,1.15,12.4,12.7,185.0,24.2,4.1,50.0,60
2026-05-18 00:00:00+00:00,Islamabad,21.9,63,1000.9,0.97,11.7,12.0,258.0,21.9,4.3,57.0,60
2026-05-18 01:00:00+00:00,Islamabad,22.9,63,1001.0,1.47,11.3,11.6,558.0,22.7,5.3,73.0,59
2026-05-18 02:00:00+00:00,Islamabad,26.2,63,1001.3,1.66,13.0,13.4,965.0,23.6,6.8,96.0,59
2026-05-18 03:00:00+00:00,Islamabad,30.0,50,1001.4,0.53,10.2,11.2,1173.0,22.4,7.9,118.0,59
2026-05-18 04:00:00+00:00,Islamabad,32.6,42,1001.3,0.78,7.4,10.0,980.0,17.3,8.5,140.0,58
2026-05-18 05:00:00+00:00,Islamabad,34.8,34,1001.0,1.19,7.3,12.0,588.0,10.1,8.8,162.0,58
2026-05-18 06:00:00+00:00,Islamabad,36.4,30,1001.1,1.27,8.1,14.6,297.0,4.8,8.8,176.0,58
2026-05-18 07:00:00+00:00,Islamabad,37.2,27,1000.5,1.73,9.7,21.7,233.0,3.0,8.3,178.0,58
2026-05-18 08:00:00+00:00,Islamabad,37.5,26,1000.2,1.98,13.2,33.3,269.0,3.0,7.5,172.0,79
2026-05-18 09:00:00+00:00,Islamabad,37.7,26,999.5,1.68,17.1,47.6,334.0,3.6,6.9,165.0,104
2026-05-18 10:00:00+00:00,Islamabad,38.0,23,999.3,1.23,19.6,62.9,353.0,2.1,6.7,161.0,123
2026-05-18 11:00:00+00:00,Islamabad,36.9,27,999.6,2.35,21.3,74.5,400.0,1.2,6.8,155.0,137
2026-05-18 12:00:00+00:00,Islamabad,36.3,38,998.8,1.46,18.1,69.6,619.0,7.8,6.6,131.0,145
2026-05-18 13:00:00+00:00,Islamabad,34.1,41,998.9,1.21,19.0,63.1,1243.0,20.5,7.4,108.0,143
2026-05-18 14:00:00+00:00,Islamabad,32.7,35,999.0,0.05,25.8,65.7,2038.0,38.3,8.4,77.0,132
2026-05-18 15:00:00+00:00,Islamabad,30.1,40,999.5,1.03,30.0,65.9,2452.0,53.0,9.1,50.0,111
2026-05-18 16:00:00+00:00,Islamabad,28.1,45,1000.3,1.5,33.3,65.9,2122.0,62.9,9.3,33.0,83
2026-05-18 17:00:00+00:00,Islamabad,27.2,45,1000.8,1.37,37.8,67.1,1410.0,69.8,9.1,21.0,67
2026-05-18 18:00:00+00:00,Islamabad,28.4,43,1000.2,1.43,38.8,62.6,851.0,70.5,8.7,16.0,67
2026-05-18 19:00:00+00:00,Islamabad,27.9,43,1000.2,1.19,35.7,54.7,680.0,61.7,8.0,21.0,68
2026-05-18 20:00:00+00:00,Islamabad,26.7,47,1000.7,2.88,31.0,46.6,663.0,46.8,7.0,33.0,69
2026-05-18 21:00:00+00:00,Islamabad,22.6,72,1002.7,6.24,25.3,40.0,631.0,33.2,6.1,47.0,70
